image_file,gt_category,gt_class_id,gt_group,gt_bbox_x1,gt_bbox_y1,gt_bbox_x2,gt_bbox_y2,gt_area,num_predictions,pred_category,pred_class_id,pred_confidence,pred_bbox_x1,pred_bbox_y1,pred_bbox_x2,pred_bbox_y2,classification_correct
1000037.jpg,니트웨어,3,상의,300.203,129.5,474.203,763.5,110316,1,니트웨어,3,0.5390383005142212,73.57218170166016,38.515724182128906,724.1153564453125,952.7394409179688,True
1000037.jpg,가디건,17,아우터,66.2031,2.5,720.2031,958.5,625224,1,니트웨어,3,0.5390383005142212,73.57218170166016,38.515724182128906,724.1153564453125,952.7394409179688,False
1000860.jpg,셔츠,4,상의,296.094,567.039,479.094,849.039,51606,2,후드티,6,0.9259618520736694,295.32427978515625,561.31982421875,488.5381164550781,856.7175903320312,False
1000860.jpg,청바지,7,하의,331.046,713.141,446.046,1008.141,33925,2,후드티,6,0.9259618520736694,295.32427978515625,561.31982421875,488.5381164550781,856.7175903320312,False
1000952.jpg,점퍼,14,아우터,252.5,497.085,487.5,801.085,71440,1,재킷,13,0.5485481023788452,248.3708038330078,483.5582580566406,497.4809875488281,799.4868774414062,False
1001613.jpg,니트웨어,3,상의,304.5,32.5,539.5,309.5,65095,2,팬츠,8,0.8857335448265076,307.8103942871094,225.43093872070312,515.6521606445312,609.0813598632812,False
1001613.jpg,팬츠,8,하의,306.5,227.5,507.5,600.5,74973,2,팬츠,8,0.8857335448265076,307.8103942871094,225.43093872070312,515.6521606445312,609.0813598632812,True
1001901.jpg,티셔츠,2,상의,351.504,393.123,541.504,532.123,26410,2,스커트,9,0.8994097113609314,378.86920166015625,523.275634765625,513.5413208007812,864.23388671875,False
1001901.jpg,스커트,9,하의,379.504,523.874,510.504,862.874,44409,2,스커트,9,0.8994097113609314,378.86920166015625,523.275634765625,513.5413208007812,864.23388671875,True
1002248.jpg,스커트,9,하의,288.504,442.231,476.504,660.231,40984,2,스커트,9,0.8851614594459534,289.0541076660156,442.0008850097656,476.94610595703125,659.1796875,True
1002248.jpg,베스트,16,아우터,290.504,257.504,530.504,517.504,62400,2,스커트,9,0.8851614594459534,289.0541076660156,442.0008850097656,476.94610595703125,659.1796875,False
1003733.jpg,가디건,17,아우터,203.5,36.5,592.5,478.5,171938,2,가디건,17,0.9229089021682739,196.43710327148438,29.24957275390625,584.465087890625,488.69281005859375,True
1003733.jpg,드레스,19,원피스,259.5,90.5,501.5,832.5,179564,2,가디건,17,0.9229089021682739,196.43710327148438,29.24957275390625,584.465087890625,488.69281005859375,False
1003807.jpg,점퍼,14,아우터,277.5,60.5,707.5,501.5,189630,1,짚업,18,0.9058834910392761,272.04290771484375,38.41911315917969,715.7642211914062,513.3140869140625,False
1003872.jpg,짚업,18,아우터,184.5,31.5,518.5,384.5,117902,2,짚업,18,0.9476277232170105,180.94171142578125,23.70250701904297,526.1395874023438,390.9950256347656,True
1003872.jpg,드레스,19,원피스,276.203,108.5,517.203,695.5,141467,2,짚업,18,0.9476277232170105,180.94171142578125,23.70250701904297,526.1395874023438,390.9950256347656,False
